Magic_number,Profit,Months,Trades/Month,PF,PF_Nor,Max_DD_%,Succes_rate,Ulcer_In,Win/DD_Ratio,Mean_cons_loss,Max_cons_loss,Max_Profit,Max_DD,DD_duration
22000,10689.98,172,25.91,1.39,1.92,6.59,0.86,1.59,0.98,1.17,4,10697.64,-659.05,420
19036,10689.06,172,3.08,1.44,1.44,9.28,0.4,3.48,0.76,2.39,11,10714.24,-928.39,737
25130,10670.03,172,3.1,1.59,1.59,10.21,0.45,3.18,0.63,2.17,9,10734.47,-1021.28,981
25149,10614.49,173,6.38,1.31,1.31,10.4,0.42,3.84,0.61,2.32,9,10911.49,-1040.2,704
25221,10396.79,172,3.06,1.49,1.49,11.59,0.4,4.57,0.54,2.5,8,10794.47,-1159.45,816
25106,10317.67,166,5.05,1.37,2.9,10.31,0.65,3.61,0.64,1.99,7,10436.17,-1030.85,484
20025,10119.25,173,1.76,1.85,1.85,8.71,0.28,2.98,0.83,3.33,16,10437.86,-871.46,967
19505,9853.82,86,9.85,1.87,1.87,3.69,0.61,1.14,3.16,1.66,7,10181.53,-369.4,198
25014,9823.03,173,5.36,1.65,1.65,5.68,0.2,1.67,1.05,4.79,22,9835.06,-568.21,477
19033,9780.11,172,3.45,1.35,1.35,10.68,0.39,4.14,0.57,2.49,13,9834.73,-1068.48,715
25399,9766.45,173,5.61,1.4,1.4,10.74,0.26,4.26,0.59,4.07,18,9944.66,-1074.31,641
25196,9714.56,172,5.83,1.41,1.41,9.06,0.35,2.82,0.66,4.08,21,9872.34,-906.33,435
25090,9697.87,133,4.98,1.8,2.86,7.14,0.82,1.69,1.15,1.44,4,9892.6,-714.02,435
19034,9635.04,172,3.41,1.34,1.34,10.73,0.4,4.26,0.55,2.43,12,9689.68,-1073.29,715
25152,9516.32,172,6.67,1.52,1.52,10.99,0.42,3.8,0.52,4.56,16,9622.91,-1098.54,1001
22058,9507.94,169,11.14,1.33,1.33,6.77,0.67,2.08,0.87,1.46,6,9651.36,-677.41,528
18076,9452.56,169,11.15,1.71,1.71,3.89,0.83,1.09,1.52,1.23,3,9471.44,-389.07,620
19511,9406.87,86,12.95,2.07,2.07,3.3,0.65,0.63,3.42,1.63,6,9426.17,-330.27,205
25182,9196.12,173,7.53,1.35,1.35,11.6,0.4,3.79,0.47,3.31,12,9233.46,-1159.76,666
25207,9146.68,173,10.59,1.32,1.32,10.89,0.33,3.17,0.5,3.83,18,9266.22,-1089.38,665
25091,9129.53,133,4.97,1.83,2.9,4.9,0.83,1.33,1.58,1.36,4,9336.65,-490.25,442
18024,9128.46,169,2.72,1.44,1.44,15.03,0.4,5.19,0.41,2.67,9,9228.63,-1502.96,947
25153,9049.13,172,5.43,1.38,1.38,12.42,0.41,4.13,0.44,4.95,19,9179.24,-1241.51,1102
25025,8905.67,172,4.88,1.65,1.65,10.9,0.23,2.68,0.5,4.49,17,8959.01,-1090.45,611
19043,8765.99,172,2.73,1.4,1.4,11.66,0.45,3.56,0.49,2.12,7,9058.18,-1165.67,870
25142,8727.4,172,3.46,1.36,1.36,11.04,0.32,3.76,0.49,2.99,14,8798.59,-1104.11,1061
22022,8719.53,169,6.09,1.57,1.57,7.49,0.63,1.89,0.74,1.56,7,8938.24,-749.23,449
20027,8556.37,173,1.55,1.92,1.92,7.44,0.27,2.53,0.93,3.38,16,8854.63,-744.14,1396
25115,8453.15,173,2.92,1.42,1.42,10.44,0.38,3.86,0.5,2.46,10,8513.51,-1043.95,866
22087,7903.95,171,3.15,1.44,1.44,10.21,0.49,3.58,0.53,2.11,9,8119.15,-1021.26,1630
25098,7677.94,133,2.74,1.63,1.63,9.0,0.65,3.06,0.73,1.57,5,7774.93,-899.67,827
22172,7568.79,166,9.39,1.27,1.27,12.16,0.57,3.82,0.39,1.8,7,7813.02,-1215.99,2296
20024,7510.33,173,2.1,1.76,1.76,9.73,0.27,2.93,0.58,3.88,21,7871.99,-973.19,1396
25015,7354.71,173,2.98,1.98,1.98,4.47,0.54,1.44,1.03,1.78,7,7487.89,-447.28,810
20022,7238.07,173,1.55,1.93,1.93,6.2,0.27,2.1,0.94,3.38,16,7478.62,-620.15,1396
25013,6974.83,169,4.07,1.4,1.4,6.44,0.4,2.34,0.67,2.43,10,7017.54,-643.61,631
22057,6646.73,169,9.18,1.21,1.21,18.04,0.56,6.53,0.23,1.83,7,7320.78,-1804.45,2020
25035,6495.89,169,3.05,1.65,1.65,9.17,0.36,2.72,0.44,2.74,29,6673.47,-916.88,733
25004,4415.55,171,3.08,1.74,1.74,2.98,0.74,0.8,0.92,1.27,3,4437.15,-298.24,483
